Sample in Buffer,Sample in Window,TRIGGER,TEC1[15:0],Target_Temp[15:0],change_target_temp[3:0],u_pid_contorl/Target_Temp1[15:0],u_pid_contorl/AD_output[15:0],u_ila_0_error[15:0]
0,0,0,8000,0000,0,1900,8000,fe02
1,1,0,8000,0000,0,1900,8000,fe02
2,2,0,8000,0000,0,1900,8000,fe02
3,3,0,8000,0000,0,1900,8000,fe02
4,4,0,8000,0000,0,1900,8000,fe02
5,5,0,8000,0000,0,1900,8000,fe02
6,6,0,8000,0000,0,1900,8000,fe02
7,7,0,8000,0000,0,1900,8000,fe02
8,8,0,8000,0000,0,1900,8000,fe02
9,9,0,8000,0000,0,1900,8000,fe02
10,10,0,8000,0000,0,1900,8000,fe02
11,11,0,8000,0000,0,1900,8000,fe02
12,12,0,8000,0000,0,1900,8000,fe02
13,13,0,8000,0000,0,1900,8000,fe02
14,14,0,8000,0000,0,1900,8000,fe02
15,15,0,8000,0000,0,1900,8000,fe02
16,16,0,8000,0000,0,1900,8000,fe02
17,17,0,8000,0000,0,1900,8000,fe02
18,18,0,8000,0000,0,1900,8000,fe02
19,19,0,8000,0000,0,1900,8000,fe02
20,20,0,8000,0000,0,1900,8000,fe02
21,21,0,8000,0000,0,1900,8000,fe02
22,22,0,8000,0000,0,1900,8000,fe02
23,23,0,8000,0000,0,1900,8000,fe02
24,24,0,8000,0000,0,1900,8000,fe02
25,25,0,8000,0000,0,1900,8000,fe02
26,26,0,8000,0000,0,1900,8000,fe02
27,27,0,8000,0000,0,1900,8000,fe02
28,28,0,8000,0000,0,1900,8000,fe02
29,29,0,8000,0000,0,1900,8000,fe02
30,30,0,8000,0000,0,1900,8000,fe02
31,31,0,8000,0000,0,1900,8000,fe02
32,32,0,8000,0000,0,1900,8000,fe02
33,33,0,8000,0000,0,1900,8000,fe02
34,34,0,8000,0000,0,1900,8000,fe02
35,35,0,8000,0000,0,1900,8000,fe02
36,36,0,8000,0000,0,1900,8000,fe02
37,37,0,8000,0000,0,1900,8000,fe02
38,38,0,8000,0000,0,1900,8000,fe02
39,39,0,8000,0000,0,1900,8000,fe02
40,40,0,8000,0000,0,1900,8000,fe02
41,41,0,8000,0000,0,1900,8000,fe02
42,42,0,8000,0000,0,1900,8000,fe02
43,43,0,8000,0000,0,1900,8000,fe02
44,44,0,8000,0000,0,1900,8000,fe02
45,45,0,8000,0000,0,1900,8000,fe02
46,46,0,8000,0000,0,1900,8000,fe02
47,47,0,8000,0000,0,1900,8000,fe02
48,48,0,8000,0000,0,1900,8000,fe02
49,49,0,8000,0000,0,1900,8000,fe02
50,50,0,8000,0000,0,1900,8000,fe02
51,51,0,8000,0000,0,1900,8000,fe02
52,52,0,8000,0000,0,1900,8000,fe02
53,53,0,8000,0000,0,1900,8000,fe02
54,54,0,8000,0000,0,1900,8000,fe02
55,55,0,8000,0000,0,1900,8000,fe02
56,56,0,8000,0000,0,1900,8000,fe02
57,57,0,8000,0000,0,1900,8000,fe02
58,58,0,8000,0000,0,1900,8000,fe02
59,59,0,8000,0000,0,1900,8000,fe02
60,60,0,8000,0000,0,1900,8000,fe02
61,61,0,8000,0000,0,1900,8000,fe02
62,62,0,8000,0000,0,1900,8000,fe02
63,63,0,8000,0000,0,1900,8000,fe02
64,64,0,8000,0000,0,1900,8000,fe02
65,65,0,8000,0000,0,1900,8000,fe02
66,66,0,8000,0000,0,1900,8000,fe02
67,67,0,8000,0000,0,1900,8000,fe02
68,68,0,8000,0000,0,1900,8000,fe02
69,69,0,8000,0000,0,1900,8000,fe02
70,70,0,8000,0000,0,1900,8000,fe02
71,71,0,8000,0000,0,1900,8000,fe02
72,72,0,8000,0000,0,1900,8000,fe02
73,73,0,8000,0000,0,1900,8000,fe02
74,74,0,8000,0000,0,1900,8000,fe02
75,75,0,8000,0000,0,1900,8000,fe02
76,76,0,8000,0000,0,1900,8000,fe02
77,77,0,8000,0000,0,1900,8000,fe02
78,78,0,8000,0000,0,1900,8000,fe02
79,79,0,8000,0000,0,1900,8000,fe02
80,80,0,8000,0000,0,1900,8000,fe02
81,81,0,8000,0000,0,1900,8000,fe02
82,82,0,8000,0000,0,1900,8000,fe02
83,83,0,8000,0000,0,1900,8000,fe02
84,84,0,8000,0000,0,1900,8000,fe02
85,85,0,8000,0000,0,1900,8000,fe02
86,86,0,8000,0000,0,1900,8000,fe02
87,87,0,8000,0000,0,1900,8000,fe02
88,88,0,8000,0000,0,1900,8000,fe02
89,89,0,8000,0000,0,1900,8000,fe02
90,90,0,8000,0000,0,1900,8000,fe02
91,91,0,8000,0000,0,1900,8000,fe02
92,92,0,8000,0000,0,1900,8000,fe02
93,93,0,8000,0000,0,1900,8000,fe02
94,94,0,8000,0000,0,1900,8000,fe02
95,95,0,8000,0000,0,1900,8000,fe02
96,96,0,8000,0000,0,1900,8000,fe02
97,97,0,8000,0000,0,1900,8000,fe02
98,98,0,8000,0000,0,1900,8000,fe02
99,99,0,8000,0000,0,1900,8000,fe02
100,100,0,8000,0000,0,1900,8000,fe02
101,101,0,8000,0000,0,1900,8000,fe02
102,102,0,8000,0000,0,1900,8000,fe02
103,103,0,8000,0000,0,1900,8000,fe02
104,104,0,8000,0000,0,1900,8000,fe02
105,105,0,8000,0000,0,1900,8000,fe02
106,106,0,8000,0000,0,1900,8000,fe02
107,107,0,8000,0000,0,1900,8000,fe02
108,108,0,8000,0000,0,1900,8000,fe02
109,109,0,8000,0000,0,1900,8000,fe02
110,110,0,8000,0000,0,1900,8000,fe02
111,111,0,8000,0000,0,1900,8000,fe02
112,112,0,8000,0000,0,1900,8000,fe02
113,113,0,8000,0000,0,1900,8000,fe02
114,114,0,8000,0000,0,1900,8000,fe02
115,115,0,8000,0000,0,1900,8000,fe02
116,116,0,8000,0000,0,1900,8000,fe02
117,117,0,8000,0000,0,1900,8000,fe02
118,118,0,8000,0000,0,1900,8000,fe02
119,119,0,8000,0000,0,1900,8000,fe02
120,120,0,8000,0000,0,1900,8000,fe02
121,121,0,8000,0000,0,1900,8000,fe02
122,122,0,8000,0000,0,1900,8000,fe02
123,123,0,8000,0000,0,1900,8000,fe02
124,124,0,8000,0000,0,1900,8000,fe02
125,125,0,8000,0000,0,1900,8000,fe02
126,126,0,8000,0000,0,1900,8000,fe02
127,127,0,8000,0000,0,1900,8000,fe02
